date,product,sales
2020-01-01,B0085W2MUQ,2.5651358972587146
2020-01-02,B0085W2MUQ,2.6445079902712774
2020-01-03,B0085W2MUQ,3.203911497047609
2020-01-04,B0085W2MUQ,3.6897668501742267
2020-01-05,B0085W2MUQ,4.139001644804135
2020-01-06,B0085W2MUQ,3.022412258056551
2020-01-07,B0085W2MUQ,3.1548769654566575
2020-01-08,B0085W2MUQ,3.7440322707627804
2020-01-09,B0085W2MUQ,5.019771952685029
2020-01-10,B0085W2MUQ,4.065226615955924
2020-01-11,B0085W2MUQ,3.9638588081316755
2020-01-12,B0085W2MUQ,3.2085586247005327
2020-01-13,B0085W2MUQ,2.1389040799244263
2020-01-14,B0085W2MUQ,2.0258791817493136
2020-01-15,B0085W2MUQ,2.3915781701774885
2020-01-16,B0085W2MUQ,2.9960535116363913
2020-01-17,B0085W2MUQ,2.5473158662998205
2020-01-18,B0085W2MUQ,2.4311859441714145
2020-01-19,B0085W2MUQ,2.414455324900716
2020-01-20,B0085W2MUQ,1.5410722417350373
2020-01-21,B0085W2MUQ,1.7216464456263896
2020-01-22,B0085W2MUQ,2.7827993774870583
2020-01-23,B0085W2MUQ,3.125048872171721
2020-01-24,B0085W2MUQ,2.9043161345363133
2020-01-25,B0085W2MUQ,2.378130412224631
2020-01-26,B0085W2MUQ,2.305588477267592
2020-01-27,B0085W2MUQ,1.8994988969159186
2020-01-28,B0085W2MUQ,2.018004052168804
2020-01-29,B0085W2MUQ,2.6463065014069675
2020-01-30,B0085W2MUQ,3.6239803821327996
2020-01-31,B0085W2MUQ,3.450733433542196
2020-02-01,B0085W2MUQ,2.2673847042158948
2020-02-02,B0085W2MUQ,2.301706716208549
2020-02-03,B0085W2MUQ,1.7329538691050537
2020-02-04,B0085W2MUQ,1.6994888579919452
2020-02-05,B0085W2MUQ,3.3398675484252296
2020-02-06,B0085W2MUQ,2.640251897056582
2020-02-07,B0085W2MUQ,2.3400080781272012
2020-02-08,B0085W2MUQ,2.7479656005348034
2020-02-09,B0085W2MUQ,2.973530558891759
2020-02-10,B0085W2MUQ,1.8492205681640803
2020-02-11,B0085W2MUQ,1.4582265728434944
2020-02-12,B0085W2MUQ,3.119542148515769
2020-02-13,B0085W2MUQ,3.4518438819253947
2020-02-14,B0085W2MUQ,2.7055067901045278
2020-02-15,B0085W2MUQ,2.961808862400983
2020-02-16,B0085W2MUQ,3.2876462889491838
2020-02-17,B0085W2MUQ,1.7529785931856108
2020-02-18,B0085W2MUQ,1.9528949428810183
2020-02-19,B0085W2MUQ,2.918448548388567
2020-02-20,B0085W2MUQ,3.383488705792527
2020-02-21,B0085W2MUQ,3.035713369509346
2020-02-22,B0085W2MUQ,2.8714140883225756
